track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,playlist_stream_ratio
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,5.086599743076995e-06
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,7.152018826161047e-06
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,9.084286723907002e-06
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,6.920947479066933e-06
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,9.340297773403774e-06
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,3.5568069870424567e-06
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,8.43240788812155e-06
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,9.959527988891365e-06
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,3.307779678039304e-06
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,1.9520704200489955e-06
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,8.580189310086222e-06
